fecha,producto,cantidad,precio
2024-01-01,A,1,10.0
2024-01-08,B,2,20.0
2024-01-08,B,5,20.0
2024-01-08,D,4,25.0
2024-01-18,A,2,10.0
2024-01-19,A,4,10.0
2024-01-22,A,5,10.0
2024-01-24,A,3,10.0
2024-01-26,C,1,15.0
2024-02-02,A,2,10.0
2024-02-03,A,4,10.0
2024-02-03,D,5,25.0
2024-02-07,B,3,20.0
2024-02-11,D,3,25.0
2024-02-12,A,3,10.0
2024-02-18,D,1,25.0
2024-02-19,C,2,15.0
2024-02-26,C,1,15.0
2024-02-27,C,5,15.0
2024-03-06,B,4,20.0
2024-03-07,A,5,10.0
2024-03-08,A,1,10.0
2024-03-09,D,5,25.0
2024-03-12,B,3,20.0
2024-03-13,A,3,10.0
2024-03-13,C,3,15.0
2024-03-20,A,2,10.0
2024-03-21,D,3,25.0
2024-03-22,B,3,20.0
2024-03-22,B,3,20.0
2024-03-28,A,2,10.0
2024-04-05,A,2,10.0
2024-04-09,B,2,20.0
2024-04-12,D,2,25.0
2024-04-13,D,5,25.0
2024-04-17,B,4,20.0
2024-04-17,D,3,25.0
2024-04-20,D,1,25.0
2024-04-21,B,4,20.0
2024-04-24,B,5,20.0
2024-04-24,C,5,15.0
2024-04-25,A,1,10.0
2024-04-29,D,4,25.0
2024-04-29,D,5,25.0
2024-05-05,B,3,20.0
2024-05-10,A,4,10.0
2024-05-15,B,1,20.0
2024-05-17,C,2,15.0
2024-05-18,B,5,20.0
2024-05-22,A,5,10.0
2024-05-25,C,3,15.0
2024-05-28,A,3,10.0
2024-06-03,A,4,10.0
2024-06-05,B,4,20.0
2024-06-08,C,1,15.0
2024-06-09,B,5,20.0
2024-06-16,C,1,15.0
2024-06-25,A,5,10.0
2024-06-29,B,5,20.0
2024-06-30,A,3,10.0
2024-07-03,B,3,20.0
2024-07-03,A,1,10.0
2024-07-03,B,1,20.0
2024-07-03,C,5,15.0
2024-07-04,D,2,25.0
2024-07-08,D,4,25.0
